iter	Passed	Remaining
0	4	4992
1	9	4750
2	14	4702
3	18	4698
4	23	4735
5	28	4712
6	33	4765
7	38	4741
8	43	4787
9	48	4778
10	52	4747
11	57	4747
12	62	4730
13	67	4747
14	72	4746
15	76	4702
16	81	4720
17	86	4716
18	91	4719
19	95	4701
20	100	4695
21	105	4708
22	110	4701
23	115	4696
24	120	4693
25	124	4668
26	129	4661
27	134	4669
28	139	4669
29	144	4675
30	149	4666
31	154	4670
32	159	4671
33	164	4673
34	169	4674
35	174	4665
36	178	4654
37	183	4657
38	188	4645
39	193	4643
40	198	4640
41	203	4639
42	208	4635
43	213	4630
44	218	4631
45	223	4637
46	229	4651
47	234	4651
48	239	4653
49	244	4647
50	249	4643
51	254	4645
52	259	4643
53	264	4635
54	269	4630
55	274	4625
56	279	4621
57	284	4617
58	289	4611
59	293	4604
60	298	4596
61	303	4589
62	308	4587
63	313	4584
64	318	4578
65	323	4573
66	328	4573
67	333	4567
68	338	4566
69	343	4558
70	347	4551
71	352	4544
72	357	4542
73	362	4538
74	367	4533
75	372	4528
76	377	4520
77	381	4507
78	386	4501
79	391	4499
80	396	4493
81	401	4491
82	406	4488
83	411	4482
84	416	4478
85	421	4476
86	425	4469
87	430	4463
88	435	4458
89	440	4453
90	445	4447
91	450	4443
92	454	4437
93	460	4434
94	464	4429
95	469	4425
96	475	4423
97	480	4418
98	484	4411
99	489	4404
100	494	4399
101	499	4395
102	504	4389
103	508	4384
104	513	4377
105	518	4372
106	523	4367
107	528	4364
108	533	4360
109	538	4355
110	543	4350
111	548	4347
112	553	4342
113	558	4338
114	563	4333
115	567	4327
116	572	4319
117	577	4314
118	581	4304
119	586	4299
120	591	4294
121	596	4290
122	601	4285
123	606	4281
124	610	4275
125	615	4272
126	621	4269
127	626	4266
128	631	4262
129	636	4257
130	640	4247
131	645	4247
132	650	4243
133	655	4237
134	660	4233
135	665	4229
136	670	4223
137	675	4218
138	680	4213
139	685	4208
140	689	4203
141	694	4197
142	699	4192
143	704	4185
144	708	4180
145	713	4175
146	718	4170
147	723	4166
148	728	4162
149	734	4161
150	739	4157
151	744	4153
152	749	4150
153	755	4150
154	760	4147
155	765	4141
156	771	4139
157	776	4138
158	781	4133
159	787	4132
160	792	4128
161	797	4124
162	802	4118
163	807	4115
164	812	4112
165	817	4108
166	822	4101
167	827	4097
168	832	4093
169	837	4088
170	842	4083
171	847	4078
172	852	4075
173	857	4071
174	862	4067
175	867	4061
176	872	4058
177	877	4053
178	882	4049
179	887	4044
180	892	4039
181	897	4033
182	902	4028
183	907	4023
184	912	4017
